ID,cate:Alcohol,cate:NoiseLevel,bool:WiFi,bool:Parking,num:stars,num:review_count
YIez_A3WOt9J2SXN7OMa2Q,none,average,FALSE,TRUE,4,105
_T8qy9XAKAFLJdmoLg1Q-g,none,average,FALSE,FALSE,4,121
CN5nuUQod0f8g3oh99qq0w,full_bar,very_loud,FALSE,FALSE,4,403
scVd-lmZCNZHK5W75-4sKQ,none,average,FALSE,FALSE,4.5,122
vMqUZEaqALd6Q9b4lO-62g,none,average,FALSE,FALSE,4,103
QTSCFDPcuROE8UCvGS8Fiw,full_bar,average,FALSE,FALSE,3,159
_u1Bq7QsgMUXSMex8QHqLQ,none,average,FALSE,FALSE,4,375
QaxDKkqYTtVYZJcqBNTnvQ,none,quiet,TRUE,FALSE,4,191
qlPyuJ77Znjh30I2kTs1xQ,full_bar,quiet,FALSE,TRUE,3.5,199
fJ-2acaqvWOsujUTAJB-ew,beer_and_wine,average,TRUE,FALSE,3.5,316
8FqfLM0Kv3Grr9l8bOAlCA,none,average,FALSE,FALSE,4.5,104
DqORaQfDFHCFIiG4g3d1-g,beer_and_wine,average,FALSE,FALSE,2.5,122
arpBUwgiaE8iqfNGMQ_hgg,none,average,FALSE,FALSE,3.5,134
TR0-w6VoZDAdvFQiq7P2Ug,none,average,FALSE,TRUE,4,335
Nxg73OigmRQQq0d1pKtkUQ,beer_and_wine,average,FALSE,FALSE,3,155
He_4k_w_8bjWnoepahS2zw,none,loud,TRUE,TRUE,3,206
aXnWWp6Reaep4-0iKWlYHQ,beer_and_wine,average,TRUE,FALSE,3.5,114
ttuEwktrkmh3TUlSFPZqAA,none,average,FALSE,FALSE,4,422
cWPTOM_o5toaXpq0gNxD7Q,none,average,TRUE,TRUE,4,134
a9aW5e731lplWGHUZ02-zQ,none,average,FALSE,TRUE,4,167
oAq3-dXyDT3k4Mluc1ftTA,full_bar,average,FALSE,FALSE,3.5,151
mES9E5K4HbYoPFXGv0pUuw,beer_and_wine,average,TRUE,FALSE,4,191
ErnZ6XLbX3aG9jz3OcyzLg,none,average,TRUE,FALSE,3.5,116
nJBwEYaulNXHPAUP0OBRtg,none,average,TRUE,FALSE,4,149
ar3FKybOl9yazviTBu-NRg,beer_and_wine,average,FALSE,FALSE,2.5,106
tuTAKHUm7ErDRZ2Yll8LzQ,none,average,FALSE,FALSE,4.5,117
-zuJkmIjdRahT_yHED-62g,beer_and_wine,loud,TRUE,TRUE,3.5,136
i_V36U612XnJ5SJAE1OPWw,none,average,FALSE,FALSE,4.5,131
Vg4N2DsGrzzoam9jS1L3Wg,none,average,FALSE,TRUE,3.5,201
4_EgrMY-EI-i-xyWixI2qg,none,average,FALSE,FALSE,4.5,232
yKFx0bW9_buGt9NASTpUaw,none,average,FALSE,FALSE,3.5,149
9pWzjhdrPgsZEmF7-QOaIQ,none,average,FALSE,FALSE,4,162
MMGnDeqMUNQsLC5V6BINjQ,beer_and_wine,average,FALSE,FALSE,4,168
lDpVyjENOz_qbxbRoyBi8w,none,average,FALSE,FALSE,4.5,295
ZCrK07xb6w5Vi1vathV0NQ,beer_and_wine,average,TRUE,FALSE,3,114
grZEbAsZwWA3yJMwDRl0Nw,beer_and_wine,average,FALSE,FALSE,4,118
HKfW6AZ-lW7jwLJwNlcLLQ,beer_and_wine,quiet,FALSE,FALSE,4.5,127
nHFJtud7jWZhM9dHQ1eIRA,beer_and_wine,average,FALSE,FALSE,4,395
6xowh_GdOsRrz9QWN6nMxA,none,average,TRUE,FALSE,3.5,158
HUYEadSbGSQNHXFmT2Ujjw,beer_and_wine,average,FALSE,FALSE,4,381
RvYjKtzdIPA2VBUpJJbzCw,beer_and_wine,average,FALSE,FALSE,4,100
v_UM-AW9YYTCbWUNa-w1Gg,beer_and_wine,average,TRUE,FALSE,4,124
TpwCjlKsdYjLsvlYhKGt4g,none,average,TRUE,TRUE,4.5,125
49fcUkW5tOHlqBakrWTMzQ,none,average,FALSE,FALSE,3.5,156
NECnXyZ8SCjQICOBhG7wTg,none,average,FALSE,FALSE,4,106
RtUvSWO_UZ8V3Wpj0n077w,full_bar,very_loud,FALSE,FALSE,4,1306
EzC51yOetmrju2DPP72iRA,beer_and_wine,average,FALSE,TRUE,3.5,197
iAxsnFs3qq0Qx1EJ1S9SoQ,full_bar,average,FALSE,FALSE,4,116
EK38MXW_OsC5CZVvIZodIw,none,average,FALSE,FALSE,3.5,201
8XCpgcsKOe6sng7qdCMIgg,beer_and_wine,average,FALSE,FALSE,3.5,148
yg_A_TpYkJjr1fef0J6QkQ,none,loud,TRUE,FALSE,3.5,285
ZUZZEQ61ZD826C65SZLAQQ,full_bar,average,TRUE,FALSE,4.5,111
k1lSQ4VIqEn36UL1zkb3dw,none,quiet,FALSE,FALSE,4,117
bejxx0XrZ6Ogv-o-3InELA,none,average,TRUE,FALSE,3,140
xVHzCbDWCwmyavF5PgJRmg,beer_and_wine,average,FALSE,FALSE,3.5,134
qcqDjeirxvdgW5kQVkEwSA,full_bar,loud,FALSE,FALSE,3,119
g6GXqg-QdDiQGLYMVqNOUw,full_bar,loud,FALSE,FALSE,3.5,153
FkJTuuqeJL4jHi2FojX_fg,full_bar,quiet,FALSE,FALSE,3.5,126
wK1SMAzIpHh-KYbrs7m0nA,none,average,FALSE,FALSE,4.5,118
Lfl9kppQhikig4xI3UdjOA,none,average,FALSE,FALSE,3.5,148
5r6-G9C4YLbC7Ziz57l3rQ,none,average,FALSE,FALSE,3.5,259
xdfGzrJ1mx3mBx6m14Ebhw,beer_and_wine,average,FALSE,FALSE,3,107
SjgeuBlgKER9yegpoxT99w,full_bar,loud,TRUE,FALSE,4,481
478TIlfHXfT3wvww54QsPg,full_bar,average,TRUE,TRUE,3.5,192
v_XG6rpmOIqxMYyTfNKjaQ,beer_and_wine,average,FALSE,TRUE,3.5,134
GxzEsd-81hVP6C2h6wMvBw,none,average,FALSE,FALSE,3.5,114
f5O7v_X_jCg2itqacRfxhg,beer_and_wine,average,FALSE,FALSE,4,762
x5yBZsTnFb1ah75XRXJz9Q,beer_and_wine,loud,FALSE,FALSE,3,171
5nyKUHibR4GCs6ojVljFdA,full_bar,average,FALSE,FALSE,3,270
qhagbvK-Pv4cGGghJ7gXBA,beer_and_wine,average,FALSE,FALSE,4,117
F_oPMHJrH42R67xp5eKtQA,beer_and_wine,average,FALSE,FALSE,4,182
kw8Lh8bJAtquHkT9CB4zGg,beer_and_wine,loud,TRUE,FALSE,3,194
272a60ze8sADYRR6GyJ3GA,none,average,FALSE,FALSE,3.5,124
bYGn37k0KgleABKMWgjnMw,full_bar,very_loud,FALSE,FALSE,3,279
d4P7boUqiA2pR59jOlzYLA,full_bar,loud,TRUE,FALSE,4,143
K-tKnqhblGR7K4R3roKmqA,none,average,FALSE,FALSE,4,160
U-a61zpbsDNVtKm9W1aqLw,none,average,TRUE,FALSE,4,122
7gnYWanhD6O7qOF-NfPNhA,full_bar,average,TRUE,FALSE,4,141
crstB-H5rOfbXhV8pX0e6g,beer_and_wine,average,FALSE,FALSE,4.5,445
cj_9eTPR0JBqk9qt2VmzFw,none,average,FALSE,FALSE,4.5,171
ALkOqlWODyxPg5VSp0HLrg,full_bar,loud,TRUE,FALSE,4,236
cfGNZTCw1pCR_fma6wgfwg,beer_and_wine,average,FALSE,FALSE,3.5,111
6EVBc9kdc3Hd8KZkLVPnGA,none,quiet,FALSE,TRUE,4.5,365
02BXFKzu1rgaYulNGYvi6g,beer_and_wine,average,FALSE,TRUE,3,234
Kud1rbrXsyI_iLHfwZcGHQ,none,average,TRUE,FALSE,3.5,181
BsyNabKZJOVIHWmwUghreg,full_bar,average,TRUE,FALSE,3,100
Tn8O4tv1U-n0PRC8kbJJPg,none,average,FALSE,FALSE,4,158
RqOgBMpKYdsEOmBVmFXe3g,beer_and_wine,average,FALSE,FALSE,4,233
-BbnAc9YEO6pjvJGEtFbVQ,beer_and_wine,average,FALSE,FALSE,4,232
bzMO8LJmJtgo3KuyWGKUxA,none,average,FALSE,FALSE,4,176
ww_MXl-qDLeYdYTZZ9KWbA,none,average,FALSE,FALSE,4,178
57_msr8gjNakjGO-1f6B_g,none,average,FALSE,FALSE,3.5,207
a_assgoJEpKu2-kyAWFc8Q,beer_and_wine,average,TRUE,FALSE,3.5,100
4twpbw7n4DmsLxAm6-sMkg,beer_and_wine,average,FALSE,FALSE,4,256
hPXR-Bi8U-uz6TUViqmGpg,none,average,TRUE,TRUE,4.5,354
EXd0QOsqz6sAOUjMJba_9w,beer_and_wine,average,FALSE,FALSE,3.5,116
4RggTW3skfGuUt0MOY_zHw,beer_and_wine,average,FALSE,FALSE,3,191
ubDO6BYjnPSIZIpWxXGdlQ,none,average,TRUE,TRUE,4,197
zA6gnF5aPBGoOm6uIbKt-A,full_bar,average,FALSE,FALSE,4,477
B01pO_pI_8AOfEsukGNg-Q,none,average,FALSE,TRUE,4.5,164
CfxVkwEJk1NAqgqMSesLzA,full_bar,very_loud,FALSE,TRUE,3.5,279
gbjIwB_r6y4YhaZMwEK6mw,none,average,FALSE,FALSE,4,111
n2NRR4N-kmeDvhHJivHGkA,beer_and_wine,average,TRUE,TRUE,4,129
KOAYl73BQ-2tQe0Q-SA9jQ,full_bar,loud,TRUE,FALSE,3,109
hm0y7QxT-UUmQcF074qV0g,beer_and_wine,average,TRUE,FALSE,4,123
L_thK7r3K_h5M4tV7amEKQ,full_bar,average,TRUE,TRUE,3.5,153
W7Ua8ELRMm3IPd23fp7XjA,full_bar,average,FALSE,TRUE,3,200
XrcB7Of1KfHlkeXYpHLIrw,full_bar,average,TRUE,FALSE,4.5,201
J-SZZniOp7nNsCNbj5rIUQ,beer_and_wine,average,FALSE,FALSE,3.5,215
iGEvDk6hsizigmXhDKs2Vg,none,average,FALSE,FALSE,4.5,1048
-Ipm_8YXj9UoNNHagCvsNg,beer_and_wine,average,FALSE,TRUE,4,182
Grr2wJ3nYD_7qUyespDglA,none,average,FALSE,FALSE,4.5,167
ik9VvawL-BeAqlxTI1leew,beer_and_wine,average,FALSE,TRUE,3.5,103
txu9xTY-ux48HS8m7eUofw,none,quiet,TRUE,FALSE,4,102
r49iBfbnfoK7yt4rdsL_7g,beer_and_wine,average,FALSE,FALSE,3.5,211
SGP1jf6k7spXkgwBlhiUVw,none,average,FALSE,FALSE,4.5,388
oqJe5o_4J0xkhvTSTP9UNQ,full_bar,average,TRUE,FALSE,3.5,106
35SEr0cPTuoBJ1DYQ686pA,beer_and_wine,average,FALSE,TRUE,4.5,257
saijdv-vXJrvsCfvr7SZOw,none,average,TRUE,FALSE,4.5,211
piZ4JqJI5WTljJuQV7yZHQ,full_bar,loud,FALSE,FALSE,3.5,419
eBqGqgZpWuM2dyPRpHbWdg,full_bar,average,FALSE,TRUE,3,145
rO3lZpVSoRMhhd0AEJBjlg,beer_and_wine,average,TRUE,FALSE,4,172
LmIGu7WPby4lm8MpELlOMw,none,average,FALSE,FALSE,4.5,117
MC4becrrM9ntmnfMrD9b0g,beer_and_wine,quiet,FALSE,FALSE,4,118
N93EYZy9R0sdlEvubu94ig,none,average,FALSE,FALSE,4.5,999
ofw8aDSEg1HoQdmCgvLtaQ,none,average,FALSE,TRUE,4.5,205
DE89UdHFMCN6DtYWZuer5A,beer_and_wine,average,FALSE,FALSE,4,713
mzREMIknfmagJugibXrCsQ,beer_and_wine,average,FALSE,FALSE,4,329
Y8vH_HD8JiUXZWHecrvMPA,none,average,FALSE,FALSE,4.5,115
s-YJpfR-LFRnH7qYVFuJuw,beer_and_wine,average,TRUE,FALSE,3.5,232
t41_VSBs7akY2POWNtzqxw,beer_and_wine,average,FALSE,FALSE,3.5,172
OuetgAKs90ce74ojny3nMw,beer_and_wine,quiet,TRUE,FALSE,3.5,121
Xhf3nW6UahoVpRMkVUlnJA,none,average,TRUE,FALSE,4,152
bDnaX6jPdunz3GK63n3T8Q,beer_and_wine,average,TRUE,FALSE,2,101
bAdlbqHs4ayJxOXOUFQDyw,full_bar,average,TRUE,FALSE,4,125
aIBvcOjkAURJJ-UH0G-s0g,none,quiet,FALSE,FALSE,4,121
K2CdjES-IZDDEgetOnf0Vw,none,average,FALSE,TRUE,4.5,158
Qmwfg-PtYuCo5Q_IwcA_HQ,full_bar,average,FALSE,FALSE,4,416
tGBeFfwXCUZOsb0YWiMWIA,beer_and_wine,average,TRUE,FALSE,3.5,115
9NMKFyr3Cw5wt_mlqv3U1g,beer_and_wine,average,FALSE,FALSE,3.5,178
Cp3YRVZojrCGeQS41Hf1pw,beer_and_wine,loud,FALSE,FALSE,3,394
uG0yvj2JWfCf0eaIgxcwXQ,none,average,TRUE,FALSE,4,111
3uOxuJUnx72b86-3NKhX0A,beer_and_wine,average,FALSE,FALSE,2.5,228
QNfh79NwsNnl-AngRhg2ww,full_bar,average,FALSE,FALSE,4,271
FBd6q_qzEFixvhV3KdzvJw,none,average,TRUE,FALSE,4.5,146
bsFZnc2mYyGy5cFf5EWTWg,full_bar,average,FALSE,FALSE,3,260
aQXzyObFK-Frx1fM_hLhew,beer_and_wine,quiet,FALSE,TRUE,4,103
WEwf_IKutaFK2t-cdMhEWg,none,quiet,FALSE,FALSE,4,109
LCb2moBNkcBto_32rmZJ5A,beer_and_wine,average,FALSE,FALSE,4,157
g6AFW-zY0wDvBl9U82g4zg,none,quiet,TRUE,TRUE,5,224
FyAioPDhzS5IP4a4SXeG-Q,full_bar,average,TRUE,FALSE,3.5,157
u2-EcTjvFanTQwTlU1_eNg,beer_and_wine,average,FALSE,TRUE,4,133
q9_gLvTNf11etVxbH7JY0Q,beer_and_wine,quiet,FALSE,FALSE,4.5,279
kYli-nDMENotoxZonriBLA,beer_and_wine,average,FALSE,FALSE,3.5,126
C8_zdU7zGLUK3uC4e5AepQ,full_bar,average,FALSE,FALSE,3.5,329
ryyptYnhb8n94NnEF_MRnQ,full_bar,loud,FALSE,FALSE,3.5,149
CLNqviorDO-pQvxTTy3kbA,full_bar,loud,FALSE,FALSE,3,114
qKUbPdzNQpdSP2mhk3tREg,none,average,FALSE,TRUE,4,176
fGurvC5BdOfd5MIuLUQYVA,none,average,FALSE,FALSE,3.5,475
j29tuUdrfaxmGjwxHdHZPA,none,average,TRUE,FALSE,4,104
JCqB36SVDjTDsXp-4gBn9Q,none,loud,FALSE,FALSE,3.5,167
B5JCODx4728Ce2Qca1NFHw,full_bar,average,FALSE,FALSE,4,151
iZJ5pdY558VodrEumGyVug,full_bar,average,FALSE,FALSE,4,201
n-5dPbGyziS0SOkVDTquFQ,beer_and_wine,average,FALSE,FALSE,4,145
hDy-uY7Vy_TZdGBzw59lhA,full_bar,average,FALSE,FALSE,4,367
AED5R0yXVzJvWAGEqWBG4A,none,average,TRUE,FALSE,4,127
aLTpnF4xG3KA5trMilgChQ,beer_and_wine,average,FALSE,TRUE,4,207
7XQLq8mnPeO5Wjhx7EBajg,none,quiet,FALSE,FALSE,2.5,102
RwRNR4z3kY-4OsFqigY5sw,none,average,FALSE,FALSE,3.5,879
m3U4Pey_Yr0jgJb8MHfy5g,none,average,FALSE,FALSE,4,245
tJcpzXzykNSLuzWwa1JQUw,full_bar,very_loud,FALSE,FALSE,3,275
abO4gvGKB0aVjsrXHlgeFg,none,quiet,TRUE,TRUE,4,148
A6bnXx1see4yZSaVVCVDyw,none,average,FALSE,TRUE,4,170
OllK5_S-7svgSwbUfx1xYA,beer_and_wine,loud,FALSE,FALSE,3.5,355
1FL3oE2mqq_EFAYPd1TWUg,beer_and_wine,average,FALSE,FALSE,3,120
t19vb_4ML2dg5HZ-MF3muA,full_bar,average,FALSE,FALSE,3.5,160
_F1_05YYlvePzomZ_NFijA,beer_and_wine,quiet,FALSE,FALSE,3.5,180
IfUkm42SB9D0m_ZbkQ711A,none,average,FALSE,FALSE,4,139
0mGYvAFGxH9bGRqYHxS0BQ,beer_and_wine,average,FALSE,FALSE,3.5,105
acvmtF41s5Qa1ZNadUV0Dw,none,average,FALSE,FALSE,4,107
TATCbqRSFNkmC_xNvNmmUA,full_bar,quiet,TRUE,FALSE,3.5,130
nrq5H3LZicjMG0wv7gy08g,full_bar,average,TRUE,FALSE,4,115
wpQsmMvdhefqIlxvRt_Jbg,full_bar,loud,TRUE,FALSE,3,277
C9QVknXuoDBdR9CBa_Flyw,none,average,FALSE,FALSE,4,101
NKYirjjTpzezUi4Rhj64bA,full_bar,average,FALSE,FALSE,3,104
hXVaXtDO9NnvCOSMtFuHRg,full_bar,average,FALSE,FALSE,3.5,114
oOGLDf2rzeCPS7UQ8hhPlQ,none,average,TRUE,FALSE,3.5,137
JLTxzBEW4IrhraaonG-vUw,none,quiet,TRUE,FALSE,4,122
0a2O150ytxrDjDzXNfRWkA,full_bar,average,TRUE,TRUE,4,549
o6Yor6ofIw2TqM3mN28Kzg,full_bar,average,FALSE,FALSE,4,255
G6EkDTXZ6zMUovg7JTG4YQ,none,average,FALSE,TRUE,3.5,169
2S9t90Q0qZWCV7X_u0rxZQ,beer_and_wine,average,FALSE,FALSE,3,230
ZDDzKXN_JXe7694zePRuTQ,none,loud,TRUE,TRUE,3.5,282
3_HrWm4qrzTN0gAC_CrfTQ,none,average,TRUE,FALSE,4,140
yiKd42V_SoI_08DL62twDQ,none,average,FALSE,FALSE,4,103
zgQHtqX0gqMw1nlBZl2VnQ,full_bar,loud,FALSE,FALSE,3,832
l2WFLLHJnO0cCheozTaRXQ,none,average,FALSE,FALSE,3.5,106
RkekriZhaIZ7nSJBVept6Q,none,average,FALSE,FALSE,3.5,124
QePLHlU8MFaU2Sf9dzoLTg,beer_and_wine,average,FALSE,FALSE,3.5,131
6SAfQKe2oM5g_EtcYXyAMg,beer_and_wine,average,FALSE,FALSE,3.5,128
fJvY-QjDY1ZWWArjx9rRIw,full_bar,loud,FALSE,FALSE,3.5,100
nktQ_aBRp5CmVOkXR0Mz1g,full_bar,average,TRUE,FALSE,3.5,151
tEfmHuo_dNanyTaC5PyoOQ,full_bar,average,FALSE,FALSE,3.5,238
JnKzrXKxY1cThJ0vNk-4pA,beer_and_wine,average,TRUE,FALSE,2.5,106
6f2imTsIysASgHh2t91OOQ,full_bar,average,TRUE,TRUE,3.5,162
PiLfiQYyDNgBaAvSL58cqg,beer_and_wine,average,FALSE,FALSE,4,214
hqi9zoHMqpSLy628aHGVOQ,none,quiet,FALSE,FALSE,4,124
cr__ihwxDQ7hyq2ZfX172Q,none,average,FALSE,FALSE,4,178
Lzr34VkDJQ6l8oWq9MptAA,beer_and_wine,average,FALSE,FALSE,3,128
4Ua5_CI0rKq3ar5hUTUprw,full_bar,average,FALSE,FALSE,4,144
0QjROMVW9ACKjhSEfHqNCQ,beer_and_wine,average,FALSE,FALSE,4,101
KS_d3F_eIA6iTo6Wtj2O_w,none,average,FALSE,FALSE,3.5,271
